"","GOLDBEES","ADANIENT","MID150BEES","MON100","NESTLEIND","HDFCBANK","LT"
"GOLDBEES",0.03362,-0.001577,0.000114,0.006443,0.001972,0.001071,0.002593
"ADANIENT",-0.001577,0.255791,0.042684,0.079857,0.018216,0.040957,0.048265
"MID150BEES",0.000114,0.042684,0.046823,0.025957,0.009616,0.023839,0.027321
"MON100",0.006443,0.079857,0.025957,12.857973,0.009326,0.027299,0.009379
"NESTLEIND",0.001972,0.018216,0.009616,0.009326,0.048948,0.013343,0.01514
"HDFCBANK",0.001071,0.040957,0.023839,0.027299,0.013343,0.066497,0.03618
"LT",0.002593,0.048265,0.027321,0.009379,0.01514,0.03618,0.078159
